product,company,domain,top_customer_industries_specter,top_customer_categories_cf,sample_customers
Braintrust,Braintrust,braintrust.dev,,,
Helicone,Helicone,helicone.ai,Software; Finance; Information Technology,Economy & Finance; Business & Economy; News & Media,linkedin.com (linkedin.com); 15five.com (15five.com); 4degrees.ai (4degrees.ai)
Lakera Guard,Lakera,lakera.ai,Information Technology; Software; Finance,,tome.com (tome.com); verax.ai (verax.ai); wexler.ai (wexler.ai)
Lakera Red,Lakera,lakera.ai,Information Technology; Software; Finance,,tome.com (tome.com); verax.ai (verax.ai); wexler.ai (wexler.ai)
Lakera Gandalf,Lakera,lakera.ai,Information Technology; Software; Finance,,tome.com (tome.com); verax.ai (verax.ai); wexler.ai (wexler.ai)
Langfuse,Langfuse,langfuse.com,Information Technology; Software; Finance,,claimsorted.com (claimsorted.com); portialabs.ai (portialabs.ai); symbe.co (symbe.co)
Patronus API,Patronus AI,patronus.ai,Information Technology; Software; Data and Analytics,,101.xyz (101.xyz); 15five.com (15five.com); 222.place (222.place)
Percival,Patronus AI,patronus.ai,Information Technology; Software; Data and Analytics,,101.xyz (101.xyz); 15five.com (15five.com); 222.place (222.place)
Lynx,Patronus AI,patronus.ai,Information Technology; Software; Data and Analytics,,101.xyz (101.xyz); 15five.com (15five.com); 222.place (222.place)
AI Risk Platform,PromptArmor,promptarmor.com,Information Technology; Software; Data and Analytics,,101.xyz (101.xyz); 15five.com (15five.com); 222.place (222.place)
